Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,3.236,0.356,1.742,-2.000
AI,3.091,0.371,13.411,-2.000
AI,3.052,0.371,19.623,-2.000
AI,3.005,0.371,14.339,-2.000
AI,2.956,0.371,10.544,-2.000
AI,2.906,0.613,7.827,-2.000
AI,2.899,0.613,29.633,-2.000
AI,2.900,0.613,20.853,-2.000
AI,2.909,0.613,14.654,-2.000
AI,2.923,0.613,10.273,-2.000
AI,2.941,0.015,7.159,-2.000
AI,2.918,0.015,45.012,-2.000
AI,2.894,0.015,31.505,-2.000
AI,2.871,0.015,22.051,-2.000
AI,2.848,0.015,15.434,-2.000
AI,2.824,0.157,10.803,-2.000
AI,2.792,0.157,36.706,-2.000
AI,2.759,0.157,25.703,-2.000
AI,2.727,0.157,18.005,-2.000
AI,2.694,0.157,12.622,-2.000
AI,2.662,0.223,8.821,-2.000
AI,2.679,0.223,25.626,-2.000
AI,2.695,0.223,17.932,-2.000
AI,2.712,0.223,12.546,-2.000
AI,2.729,0.223,8.741,-2.000
AI,2.746,0.270,6.137,-2.000
AI,2.791,0.270,23.640,-2.000
AI,2.837,0.270,16.495,-2.000
AI,2.882,0.270,11.493,-2.000
AI,2.928,0.270,7.965,-2.000
AI,2.973,0.201,5.544,-2.000
AI,3.003,0.201,11.563,-2.000
AI,3.033,0.201,8.058,-2.000
AI,3.063,0.201,5.649,-2.000
AI,3.093,0.201,3.950,-2.000
AI,3.123,0.058,2.757,-2.000
AI,3.217,0.058,6.402,-2.000
AI,3.311,0.058,4.495,-2.000
AI,3.405,0.058,3.154,-2.000
AI,3.499,0.058,2.213,-2.000
AI,3.593,0.051,1.554,-2.000
AI,3.688,0.051,7.950,-2.000
AI,3.782,0.051,5.576,-2.000
AI,3.876,0.051,3.902,-2.000
AI,3.971,0.051,2.726,-2.000
AI,4.065,0.206,1.902,-2.000
AI,4.152,0.206,13.593,-2.000
AI,4.188,0.206,9.472,-2.000
AI,4.223,0.206,6.663,-2.000
AI,4.259,0.206,4.678,-2.000
AI,4.294,0.242,3.281,-2.000
AI,4.327,0.242,6.808,-2.000
AI,4.359,0.242,4.769,-2.000
AI,4.392,0.242,3.335,-2.000
AI,4.426,0.242,2.331,-2.000
AI,4.459,0.284,1.631,-2.000
AI,4.499,0.284,5.796,-2.000
AI,4.539,0.284,4.057,-2.000
AI,4.580,0.284,2.841,-2.000
AI,4.622,0.284,2.000,-2.000
AI,4.664,0.300,1.427,-2.000
AI,4.671,0.300,10.427,-2.000
AI,4.677,0.300,7.276,-2.000
AI,4.684,0.300,5.101,-2.000
AI,4.691,0.300,3.567,-2.000
AI,4.697,0.211,2.490,-2.000
AI,4.696,0.211,11.646,-2.000
AI,4.695,0.211,8.151,-2.000
AI,4.694,0.211,5.754,-2.000
AI,4.694,0.211,4.067,-2.000
AI,4.693,0.232,2.886,-2.000
AI,4.688,0.232,5.269,-1.000
AI,4.683,0.232,3.689,-2.000
AI,4.678,0.232,2.581,-2.000
AI,4.672,0.232,1.805,-2.000
AI,4.667,0.200,1.261,-2.000
