Label,Distance,StrafingIntensity,AngularVelocity
AI,1.305,0.034,5.636
AI,1.298,0.034,3.951
AI,1.291,0.005,2.767
AI,1.204,0.005,16.504
AI,1.199,0.005,11.548
AI,1.113,0.005,8.065
AI,1.156,0.005,5.662
AI,1.206,0.040,3.969
AI,1.224,0.040,11.597
AI,1.235,0.040,8.091
AI,1.243,0.040,5.683
AI,1.251,0.040,3.985
AI,1.257,0.039,2.792
AI,1.317,0.039,12.811
AI,1.380,0.039,9.160
AI,1.446,0.039,6.698
AI,1.514,0.039,5.000
AI,1.584,0.021,3.850
AI,1.499,0.021,2.927
AI,1.415,0.021,2.114
AI,1.332,0.021,1.626
AI,1.249,0.021,1.380
AI,1.167,0.009,1.299
AI,1.196,0.009,7.646
AI,1.224,0.009,5.375
AI,1.248,0.009,3.775
AI,1.266,0.009,2.651
AI,1.280,0.031,1.863
AI,1.290,0.031,21.952
AI,1.297,0.031,15.365
AI,1.302,0.031,10.754
AI,1.305,0.031,7.504
AI,1.306,0.027,5.266
AI,1.307,0.027,17.256
AI,1.307,0.027,12.084
AI,1.307,0.027,8.431
AI,1.307,0.027,5.925
AI,1.306,0.017,4.157
AI,1.318,0.017,6.858
AI,1.337,0.017,5.053
AI,1.360,0.017,3.943
AI,1.387,0.017,3.336
AI,1.417,0.042,3.053
AI,1.348,0.042,12.326
AI,1.278,0.042,8.620
AI,1.210,0.042,6.162
AI,1.211,0.042,4.377
AI,1.200,0.001,3.125
AI,1.286,0.001,6.024
AI,1.374,0.001,4.259
AI,1.463,0.001,3.017
AI,1.553,0.001,2.142
AI,1.643,0.014,1.526
AI,1.697,0.014,1.668
AI,1.697,0.014,1.601
AI,1.701,0.014,1.642
AI,1.708,0.014,1.732
AI,1.718,0.002,1.839
AI,1.570,0.002,6.762
AI,1.424,0.002,4.775
AI,1.279,0.002,3.371
AI,1.138,0.002,2.376
AI,1.182,0.056,1.676
AI,1.232,0.056,6.398
AI,1.270,0.056,4.486
AI,1.294,0.056,3.141
AI,1.304,0.056,2.199
AI,1.303,0.017,1.538
AI,1.290,0.017,7.800
AI,1.266,0.017,5.477
AI,1.236,0.017,3.844
AI,1.204,0.017,2.699
AI,1.173,0.064,1.900
AI,1.144,0.064,14.975
AI,1.169,0.064,10.471
AI,1.199,0.064,7.299
AI,1.226,0.064,5.116
AI,1.248,0.037,3.580
AI,1.270,0.037,13.521
AI,1.293,0.037,9.583
AI,1.314,0.037,6.964
AI,1.337,0.037,5.173
AI,1.362,0.031,3.977
AI,1.444,0.031,5.152
AI,1.526,0.031,3.798
AI,1.609,0.031,2.885
AI,1.691,0.031,2.282
AI,1.774,0.019,1.893
AI,1.865,0.019,3.033
AI,1.957,0.019,2.157
AI,2.049,0.019,1.543
AI,2.142,0.019,1.111
AI,2.235,0.015,0.809
AI,2.327,0.015,2.343
AI,2.420,0.015,1.639
AI,2.513,0.015,1.144
AI,2.606,0.015,0.799
AI,2.699,0.021,0.558
AI,2.793,0.021,4.044
AI,2.886,0.021,2.834
AI,2.979,0.021,1.987
AI,3.073,0.021,1.393
AI,3.167,0.019,0.978
AI,3.261,0.019,5.566
AI,3.355,0.019,3.902
AI,3.449,0.019,2.734
AI,3.543,0.019,1.915
AI,3.637,0.021,1.341
AI,3.726,0.021,2.234
AI,3.816,0.021,1.573
AI,3.906,0.021,1.117
AI,3.995,0.021,0.808
AI,4.085,0.048,0.605
AI,4.173,0.048,2.627
AI,4.261,0.048,1.856
AI,4.349,0.048,1.324
AI,4.438,0.048,0.961
AI,4.526,0.071,0.720
AI,4.593,0.071,1.232
AI,4.660,0.071,0.946
AI,4.728,0.071,0.778
AI,4.796,0.071,0.691
AI,4.865,0.117,0.651
AI,4.878,0.117,2.279
AI,4.893,0.117,1.684
AI,4.908,0.117,1.311
AI,4.923,0.117,1.094
AI,4.939,0.159,0.981
AI,4.970,0.159,3.384
AI,5.002,0.159,2.457
AI,5.033,0.159,1.836
AI,5.065,0.159,1.436
AI,5.096,0.158,1.190
AI,5.058,0.158,8.558
AI,5.002,0.158,6.036
AI,4.944,0.158,4.259
AI,4.886,0.158,3.013
AI,4.826,0.047,9.279
AI,4.201,0.047,6.410
AI,3.586,0.047,4.496
AI,2.984,0.047,3.150
AI,2.399,0.047,2.206
AI,1.846,0.047,1.544
AI,1.392,0.110,7.190
AI,1.438,0.110,5.847
AI,1.476,0.110,4.807
AI,1.505,0.110,4.012
AI,1.528,0.124,3.402
AI,1.509,0.124,11.000
AI,1.487,0.124,7.879
AI,1.461,0.124,5.722
AI,1.432,0.124,4.201
AI,1.402,0.040,3.129
AI,1.369,0.040,6.945
AI,1.335,0.040,4.925
AI,1.301,0.040,3.493
AI,1.267,0.040,2.476
AI,1.233,0.067,1.752
AI,1.202,0.067,26.155
AI,1.187,0.067,18.308
AI,1.176,0.067,12.816
AI,1.166,0.067,8.933
AI,1.156,0.028,6.278
AI,1.200,0.028,7.296
AI,1.244,0.028,5.121
AI,1.276,0.028,3.589
AI,1.296,0.028,2.514
AI,1.304,0.038,1.760
AI,1.319,0.038,10.527
AI,1.340,0.038,7.208
AI,1.366,0.038,5.037
AI,1.395,0.038,3.688
AI,1.428,0.044,2.967
AI,1.385,0.044,6.390
AI,1.344,0.044,4.917
AI,1.304,0.044,4.053
AI,1.266,0.044,3.620
AI,1.230,0.002,3.463
AI,1.148,0.002,3.625
AI,1.192,0.002,2.683
AI,1.225,0.002,2.011
AI,1.250,0.002,1.522
AI,1.269,0.005,1.163
AI,1.259,0.005,20.165
AI,1.173,0.005,14.166
AI,1.211,0.005,9.930
AI,1.203,0.005,6.952
AI,1.117,0.045,4.916
AI,1.174,0.045,16.426
AI,1.191,0.045,11.481
AI,1.199,0.045,7.994
AI,1.204,0.045,5.602
AI,1.209,0.026,3.917
AI,1.293,0.026,1.914
AI,1.379,0.026,1.518
AI,1.466,0.026,1.246
AI,1.553,0.026,1.060
AI,1.641,0.008,0.930
AI,1.728,0.008,6.154
AI,1.816,0.008,4.384
AI,1.905,0.008,3.144
AI,1.995,0.008,2.278
AI,2.085,0.075,1.676
AI,2.174,0.075,4.525
AI,2.263,0.075,3.196
AI,2.352,0.075,2.272
AI,2.442,0.075,1.636
AI,2.532,0.006,1.204
AI,2.625,0.006,1.808
AI,2.719,0.006,1.263
AI,2.812,0.006,0.883
AI,2.906,0.006,0.617
AI,3.000,0.026,0.431
AI,3.094,0.026,1.446
AI,3.128,0.026,0.994
AI,3.163,0.026,0.677
AI,3.198,0.026,0.459
AI,3.233,0.016,0.315
AI,3.276,0.016,9.804
AI,3.319,0.016,6.847
AI,3.363,0.016,4.806
AI,3.406,0.016,3.371
AI,3.450,0.009,2.368
AI,3.517,0.009,6.458
AI,3.585,0.009,4.550
AI,3.655,0.009,3.220
AI,3.725,0.009,2.304
AI,3.796,0.009,1.685
AI,3.852,0.009,4.393
AI,3.908,0.009,3.075
AI,3.966,0.009,2.156
AI,4.024,0.009,1.521
AI,4.082,0.005,1.089
AI,4.143,0.005,5.361
AI,4.204,0.005,3.763
AI,4.265,0.005,2.646
AI,4.327,0.005,1.871
AI,4.390,0.021,1.337
AI,4.428,0.021,0.978
AI,4.466,0.021,0.669
AI,4.505,0.021,0.457
AI,4.543,0.021,0.322
AI,4.582,0.053,0.247
AI,4.675,0.053,2.559
AI,4.768,0.053,1.805
AI,4.861,0.053,1.279
AI,4.955,0.053,0.912
AI,5.048,0.072,0.658
AI,5.125,0.072,2.205
AI,5.202,0.072,1.551
AI,5.280,0.072,1.107
AI,5.358,0.072,0.814
AI,5.437,0.069,0.633
AI,5.454,0.069,7.384
AI,5.472,0.069,5.191
AI,5.491,0.069,3.659
AI,5.511,0.069,2.602
AI,5.531,0.092,1.885
AI,5.485,0.092,4.397
AI,5.440,0.092,3.124
AI,5.395,0.092,2.251
AI,5.350,0.092,1.664
AI,5.305,0.064,1.285
AI,5.342,0.064,4.371
AI,5.379,0.064,3.127
AI,5.417,0.064,2.274
AI,5.454,0.064,1.702
AI,5.491,0.121,1.331
AI,5.509,0.121,3.989
AI,5.526,0.121,2.847
AI,5.544,0.121,2.071
AI,5.561,0.121,1.559
AI,5.579,0.137,1.236
AI,5.555,0.137,1.993
AI,5.532,0.137,1.511
AI,5.509,0.137,1.209
AI,5.485,0.137,1.033
AI,5.462,0.118,0.937
AI,5.467,0.118,3.231
AI,5.473,0.118,2.352
AI,5.478,0.118,1.765
AI,5.484,0.118,1.387
AI,5.490,0.118,1.156
