Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
Human,3.056,0.000,0.000,-2.000
Human,3.150,0.000,0.000,-2.000
Human,3.244,0.000,0.000,-2.000
Human,3.339,0.000,0.000,-2.000
Human,3.433,0.000,0.000,-2.000
Human,3.527,0.000,0.000,-2.000
Human,3.562,0.000,0.000,-2.000
Human,3.597,0.000,0.000,-2.000
Human,3.632,0.000,0.000,-2.000
Human,3.667,0.001,0.000,-2.000
Human,3.709,0.008,0.000,-2.000
Human,3.751,0.014,0.000,-2.000
Human,3.793,0.019,0.000,-2.000
Human,3.835,0.022,0.186,-2.000
Human,3.878,0.025,0.224,-2.000
Human,3.939,0.033,0.254,-2.000
Human,4.001,0.039,0.329,-2.000
Human,4.064,0.044,0.389,-2.000
Human,4.128,0.048,0.437,-2.000
Human,4.192,0.050,0.475,-2.000
Human,4.231,0.035,0.503,-2.000
Human,4.271,0.022,0.345,-2.000
Human,4.311,0.012,0.218,-2.000
Human,4.351,0.004,0.000,-2.000
Human,4.391,0.002,0.000,-2.000
Human,4.447,0.009,0.000,-2.000
Human,4.504,0.017,0.000,-2.000
Human,4.561,0.024,0.169,-2.000
Human,4.618,0.029,0.239,-2.000
Human,4.676,0.034,0.293,-2.000
Human,4.714,0.023,0.337,-1.000
Human,4.751,0.015,0.234,-2.000
Human,4.788,0.009,0.150,-2.000
Human,4.826,0.004,0.000,-2.000
Human,4.863,0.001,0.000,-2.000
Human,4.958,0.001,0.000,-2.000
Human,5.053,1.000,0.000,-2.000
Human,5.054,1.000,0.000,-2.000
Human,5.055,0.999,0.183,-2.000
Human,5.056,0.999,0.337,-2.000
Human,5.057,0.998,0.459,-2.000
Human,5.058,0.998,0.558,-2.000
Human,5.058,0.998,0.635,-2.000
Human,5.059,0.997,0.697,-2.000
Human,5.060,0.997,0.747,-2.000
Human,5.061,0.997,0.787,-2.000
Human,5.062,0.996,0.819,-2.000
Human,5.063,0.996,0.844,-2.000
Human,5.064,0.996,0.864,-2.000
Human,5.065,0.996,0.880,-2.000
Human,5.066,0.996,0.894,-2.000
Human,5.067,0.996,0.904,-2.000
Human,5.067,0.996,0.912,-2.000
Human,5.068,0.996,0.919,-2.000
Human,5.069,0.996,0.924,-2.000
Human,5.070,0.996,0.928,-2.000
Human,5.071,0.996,0.932,-2.000
