Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,2.389,0.240,3.745,-2.000
AI,2.478,0.222,2.664,-2.000
AI,2.401,0.222,19.752,-2.000
AI,2.325,0.222,13.912,-2.000
AI,2.249,0.222,9.834,-2.000
AI,2.174,0.222,6.977,-2.000
AI,2.099,0.159,5.023,-2.000
AI,2.128,0.159,19.623,-2.000
AI,2.159,0.159,13.995,-2.000
AI,2.192,0.159,10.023,-2.000
AI,2.226,0.159,7.322,-2.000
AI,2.261,0.208,5.424,-2.000
AI,2.208,0.208,9.034,-2.000
AI,2.155,0.208,6.192,-2.000
AI,2.103,0.208,4.251,-2.000
AI,2.052,0.208,2.927,-2.000
AI,2.002,0.201,2.068,-2.000
AI,2.017,0.201,7.604,-2.000
AI,2.031,0.201,5.387,-2.000
AI,2.044,0.201,3.829,-2.000
AI,2.058,0.201,2.739,-2.000
AI,2.071,0.217,1.981,-2.000
AI,2.083,0.217,37.041,-2.000
AI,2.095,0.217,25.845,-2.000
AI,2.106,0.217,18.012,-2.000
AI,2.118,0.217,12.531,-2.000
AI,2.129,0.128,8.660,-2.000
AI,2.103,0.128,26.401,-2.000
AI,2.076,0.128,18.553,-2.000
AI,2.049,0.128,13.058,-2.000
AI,2.022,0.128,9.173,-2.000
AI,1.996,0.155,6.516,-2.000
AI,2.023,0.155,33.907,-2.000
AI,2.050,0.155,23.737,-2.000
AI,2.078,0.155,16.618,-2.000
AI,2.105,0.155,11.636,-2.000
AI,2.132,0.162,8.121,-2.000
AI,2.133,0.162,15.189,-2.000
AI,2.134,0.162,10.584,-2.000
AI,2.135,0.162,7.339,-2.000
AI,2.135,0.162,5.106,-2.000
AI,2.136,0.180,3.535,-2.000
AI,2.135,0.180,21.099,-2.000
AI,2.133,0.180,14.833,-2.000
AI,2.131,0.180,10.448,-2.000
AI,2.130,0.180,7.360,-2.000
AI,2.128,0.079,5.231,-2.000
AI,2.119,0.079,14.702,-2.000
AI,2.111,0.079,10.343,-2.000
AI,2.102,0.079,7.270,-2.000
AI,2.094,0.079,5.147,-2.000
AI,2.085,0.107,3.652,-2.000
AI,2.100,0.107,15.237,-2.000
AI,2.115,0.107,10.614,-2.000
AI,2.130,0.107,7.355,-2.000
AI,2.145,0.107,5.111,-2.000
AI,2.160,0.113,3.532,-2.000
AI,2.144,0.113,14.224,-2.000
AI,2.129,0.113,9.994,-2.000
AI,2.113,0.113,7.017,-2.000
AI,2.098,0.113,4.962,-2.000
AI,2.082,0.137,3.518,-2.000
AI,2.094,0.137,12.034,-2.000
AI,2.106,0.137,8.432,-2.000
AI,2.118,0.137,5.961,-2.000
AI,2.130,0.137,4.220,-2.000
AI,2.142,0.136,2.997,-2.000
AI,2.153,0.136,18.106,-2.000
